customer_id,account_creation_date,subscription_tier,monthly_recurring_revenue_usd,company_size,industry,active_users,crm_contacts_count,email_marketing_usage_pct,marketing_automation_usage_pct,sales_pipeline_usage_pct,reporting_analytics_usage_pct,integration_count,support_tickets_90days,onboarding_completed,csm_assigned,days_since_last_login,nps_score,contract_length_months,customer_churned
HS008013,2022-01-04,Professional,1412.28,51-200,Technology,15,6195,68.9,50.0,67.1,57.6,2,1,Yes,Yes,5,7,12,No
HS000721,2022-01-04,Starter,136.13,1-10,Financial Services,2,444,49.5,25.8,42.0,28.6,3,4,Yes,No,14,7,1,No
HS002909,2022-01-05,Professional,2555.72,51-200,Professional Services,8,3224,54.6,38.8,83.0,36.6,4,5,No,Yes,9,9,24,No
HS000307,2022-01-05,Starter,117.33,11-50,Technology,8,2712,37.3,7.9,58.8,12.3,3,12,Yes,No,11,4,1,Yes
HS000771,2022-01-05,Starter,87.2,51-200,Real Estate,15,1230,41.1,11.5,49.1,6.0,2,5,Yes,No,8,3,1,Yes
HS008944,2022-01-05,Starter,92.31,1-10,Professional Services,2,238,33.1,17.0,43.4,14.0,0,6,Yes,No,15,1,12,No
HS004007,2022-01-05,Professional,2025.88,11-50,Technology,3,948,50.0,46.5,73.8,27.9,6,3,Yes,Yes,8,7,1,No
HS005421,2022-01-05,Starter,177.34,1-10,E-commerce,2,958,38.1,5.8,63.2,13.3,2,2,No,No,17,7,12,No
HS004063,2022-01-06,Starter,171.77,11-50,Marketing & Advertising,11,4092,23.3,26.5,46.6,6.9,1,13,No,No,13,2,1,No
HS004137,2022-01-06,Starter,195.05,1-10,E-commerce,4,1308,39.1,19.8,36.9,18.5,3,9,Yes,No,21,2,1,No
HS007638,2022-01-06,Starter,105.36,11-50,Technology,3,1233,39.1,9.8,43.6,5.1,0,11,No,No,22,3,1,Yes
HS003826,2022-01-06,Starter,110.43,1-10,Marketing & Advertising,3,453,32.6,2.2,46.7,16.7,3,8,Yes,No,29,5,12,No
HS006004,2022-01-06,Professional,3082.94,51-200,E-commerce,9,2556,68.4,35.0,58.3,28.5,3,2,Yes,No,7,6,12,No
HS000718,2022-01-06,Professional,1998.36,51-200,Professional Services,23,5796,66.7,17.5,50.5,31.9,2,3,No,No,3,6,24,Yes
HS007817,2022-01-07,Starter,48.51,51-200,E-commerce,10,1460,17.9,13.5,64.7,25.9,0,3,No,No,19,6,1,Yes
HS004488,2022-01-07,Professional,1722.91,11-50,Professional Services,11,3542,60.2,40.5,47.2,31.3,5,1,Yes,No,8,5,12,No
HS001223,2022-01-07,Enterprise,11818.06,501-1000,Healthcare,47,45850,82.2,83.3,68.9,81.8,9,3,Yes,Yes,1,10,24,No
HS008114,2022-01-07,Starter,128.34,1-10,Real Estate,4,1628,20.6,7.0,46.2,5.1,3,3,No,No,82,4,1,Yes
HS006048,2022-01-07,Professional,1698.35,51-200,Technology,15,975,44.1,50.2,70.2,58.8,3,4,Yes,Yes,3,9,12,No
HS009382,2022-01-07,Starter,140.35,11-50,Real Estate,4,1528,20.3,23.7,20.0,7.2,3,14,Yes,No,68,1,1,Yes
HS000953,2022-01-07,Enterprise,4547.27,501-1000,Financial Services,43,101876,54.2,40.4,91.6,46.7,11,6,Yes,Yes,9,8,24,No
HS002543,2022-01-07,Starter,58.84,11-50,Technology,4,816,19.2,29.6,35.5,8.9,3,5,Yes,No,29,3,1,Yes
HS001387,2022-01-07,Professional,938.22,51-200,Healthcare,11,2057,52.3,45.5,62.5,33.5,5,4,No,No,9,6,24,No
HS004431,2022-01-08,Starter,173.24,1-10,Real Estate,1,463,27.9,28.9,53.2,5.1,3,9,No,No,22,2,1,Yes
HS008950,2022-01-08,Professional,2340.29,11-50,Financial Services,7,2457,46.1,32.9,55.0,22.8,2,5,No,Yes,20,5,1,Yes
HS008462,2022-01-08,Professional,2706.88,11-50,Marketing & Advertising,3,1266,58.1,51.4,70.8,45.1,5,1,Yes,No,6,9,1,No
HS002238,2022-01-08,Professional,2561.78,11-50,Technology,4,944,35.5,57.5,79.4,42.1,5,7,Yes,No,1,7,12,No
HS000654,2022-01-08,Professional,2038.55,51-200,Financial Services,12,3276,32.0,30.7,59.3,27.8,4,4,Yes,Yes,8,5,12,No
HS004043,2022-01-08,Professional,1581.96,201-500,Education,29,7279,78.2,26.1,75.8,30.3,3,7,Yes,No,4,8,1,No
HS002957,2022-01-08,Enterprise,11306.71,1000+,Marketing & Advertising,92,51057,72.0,70.2,72.2,77.5,13,3,No,Yes,1,10,36,No
HS007438,2022-01-09,Professional,1721.08,11-50,Financial Services,9,3654,71.3,32.7,40.3,27.1,3,7,No,No,8,5,12,Yes
HS001379,2022-01-09,Starter,62.91,1-10,Technology,3,312,15.4,25.0,58.8,6.7,2,13,Yes,No,17,0,12,Yes
HS008039,2022-01-09,Starter,150.03,1-10,Education,4,384,34.0,24.8,52.0,13.3,1,2,Yes,No,15,5,1,Yes
HS006107,2022-01-09,Professional,1809.98,11-50,E-commerce,6,1494,36.0,57.2,74.2,29.7,2,6,No,Yes,4,5,12,Yes
HS004630,2022-01-09,Professional,1774.31,51-200,Marketing & Advertising,12,1512,36.5,37.7,70.2,59.1,2,7,No,No,8,8,12,No
HS000194,2022-01-09,Starter,133.66,1-10,E-commerce,2,976,38.1,26.6,48.2,34.7,2,2,Yes,No,28,7,1,Yes
HS003092,2022-01-10,Starter,190.84,1-10,Real Estate,2,316,32.5,11.8,63.3,33.6,3,2,No,No,5,7,1,Yes
HS005925,2022-01-10,Professional,2032.15,11-50,Healthcare,4,268,39.2,46.2,48.0,33.5,6,1,No,No,6,7,1,No
HS000750,2022-01-10,Professional,2364.78,51-200,Technology,15,990,67.5,54.8,57.6,22.8,2,2,No,Yes,9,7,12,No
HS002981,2022-01-10,Professional,2757.8,11-50,Technology,4,280,62.3,52.8,74.8,58.3,4,1,Yes,Yes,5,7,12,No
HS007413,2022-01-10,Enterprise,7627.26,501-1000,Marketing & Advertising,43,25492,86.9,79.1,80.0,53.1,11,3,Yes,Yes,1,9,24,No
HS001643,2022-01-10,Starter,76.57,1-10,Healthcare,4,1192,36.4,11.9,54.2,22.7,2,2,No,No,16,7,1,No
HS008681,2022-01-10,Professional,2059.64,51-200,Financial Services,18,7128,57.3,55.2,47.2,33.3,5,6,Yes,No,3,5,1,No
HS000527,2022-01-10,Enterprise,6580.33,501-1000,E-commerce,34,48276,70.9,57.1,89.9,64.4,12,0,Yes,Yes,0,9,24,No
HS009818,2022-01-11,Professional,2938.04,51-200,Marketing & Advertising,9,1521,49.7,48.3,75.3,42.8,7,2,Yes,Yes,7,8,1,No
HS001153,2022-01-11,Enterprise,3888.0,1000+,Real Estate,41,18465,73.1,77.1,83.9,66.4,13,2,Yes,Yes,2,10,36,No
HS005458,2022-01-11,Professional,2045.03,51-200,Real Estate,13,2561,59.3,24.4,43.2,39.8,4,3,Yes,No,9,6,1,Yes
HS007502,2022-01-11,Starter,57.6,11-50,Manufacturing,8,1064,40.5,27.7,28.3,5.6,1,11,Yes,No,26,5,1,Yes
HS008948,2022-01-11,Professional,1815.54,51-200,Marketing & Advertising,14,700,50.2,56.7,46.8,37.1,3,7,Yes,No,6,5,1,No
HS001025,2022-01-11,Professional,1571.45,51-200,Marketing & Advertising,17,8092,68.6,23.3,81.1,49.4,7,2,Yes,No,4,9,1,No
HS001346,2022-01-11,Starter,179.45,1-10,Technology,2,546,25.6,4.9,35.7,9.1,2,9,No,No,39,2,1,No
HS003759,2022-01-11,Starter,111.49,1-10,Manufacturing,3,573,57.9,18.0,58.8,11.2,2,2,No,No,19,6,1,No
HS009549,2022-01-11,Enterprise,8541.62,1000+,E-commerce,71,101970,54.3,44.1,82.5,69.9,14,1,Yes,Yes,1,7,24,No
HS006904,2022-01-11,Professional,2408.64,51-200,Manufacturing,11,1639,45.8,25.8,83.5,24.3,4,7,Yes,No,8,5,12,No
HS000828,2022-01-11,Enterprise,8823.32,1000+,Healthcare,79,111593,65.7,53.7,68.3,88.5,8,4,Yes,Yes,6,8,24,No
HS001765,2022-01-12,Professional,880.75,51-200,Technology,12,4824,72.1,34.4,75.9,38.8,3,1,Yes,No,7,8,12,No
HS001588,2022-01-12,Enterprise,4785.06,201-500,Professional Services,33,31142,54.1,52.4,67.9,55.7,10,1,Yes,Yes,5,8,24,No
HS000380,2022-01-12,Professional,2504.05,51-200,E-commerce,22,8338,48.8,35.2,79.0,24.3,7,1,Yes,Yes,6,6,12,No
HS001064,2022-01-12,Starter,104.84,51-200,Professional Services,12,5676,31.4,10.1,23.0,7.6,3,6,No,No,33,4,12,Yes
HS002856,2022-01-12,Professional,3053.98,11-50,Education,5,275,75.2,55.0,55.2,47.7,3,2,Yes,No,7,8,12,Yes
HS008527,2022-01-12,Enterprise,9384.11,501-1000,Professional Services,48,63023,54.5,48.6,74.2,52.2,14,3,Yes,Yes,9,7,24,No
HS004642,2022-01-12,Starter,57.01,1-10,Professional Services,4,1884,52.2,14.1,21.5,32.5,0,1,No,No,5,5,1,No
HS004321,2022-01-12,Starter,195.09,1-10,Marketing & Advertising,4,1384,27.0,6.9,38.4,5.1,1,13,Yes,No,40,6,1,Yes
HS007960,2022-01-12,Starter,70.53,11-50,Technology,9,3312,35.6,17.3,32.6,22.4,3,9,Yes,No,7,0,1,No
HS007770,2022-01-12,Enterprise,10435.4,201-500,Technology,26,27674,82.4,55.5,80.5,83.8,14,0,Yes,Yes,1,10,24,No
HS006995,2022-01-12,Starter,61.68,1-10,Technology,3,861,33.2,6.3,46.8,6.5,3,6,Yes,No,10,5,1,Yes
HS004222,2022-01-12,Starter,76.79,1-10,E-commerce,1,448,56.8,26.8,34.5,14.3,0,3,Yes,No,19,6,1,Yes
HS008994,2022-01-12,Professional,1614.46,51-200,Professional Services,19,7771,58.6,58.1,65.3,50.8,2,3,Yes,Yes,8,8,1,No
HS004346,2022-01-12,Starter,123.84,1-10,Professional Services,1,464,36.6,23.9,42.5,7.2,1,12,Yes,No,19,2,12,Yes
HS003684,2022-01-13,Professional,2625.72,11-50,Professional Services,3,1368,64.9,15.2,42.6,57.8,4,3,Yes,No,3,5,24,No
HS000754,2022-01-13,Enterprise,7747.24,501-1000,Real Estate,37,51790,68.3,53.2,87.3,72.2,9,2,Yes,Yes,2,9,12,No
HS005146,2022-01-13,Starter,101.48,1-10,Professional Services,4,576,30.8,10.6,27.7,17.4,3,8,Yes,No,11,4,1,No
HS009484,2022-01-13,Starter,113.83,1-10,Technology,1,61,25.5,15.4,38.6,15.5,0,11,Yes,No,23,5,1,Yes
HS007595,2022-01-13,Enterprise,10841.09,501-1000,Professional Services,25,30231,60.0,64.2,64.7,59.9,14,4,Yes,Yes,6,9,12,No
HS004992,2022-01-13,Professional,2342.36,11-50,Professional Services,11,2739,59.8,59.1,68.9,32.2,5,3,Yes,Yes,5,9,12,No
HS003862,2022-01-13,Starter,84.05,51-200,Technology,10,4880,25.4,1.2,35.7,18.4,2,5,No,No,25,4,1,Yes
HS007439,2022-01-13,Professional,2314.52,51-200,Marketing & Advertising,21,6069,32.7,38.1,50.1,31.9,4,2,Yes,Yes,27,7,24,No
HS004077,2022-01-13,Professional,2333.64,51-200,Professional Services,18,1134,72.7,28.1,66.0,35.9,4,4,Yes,No,4,8,24,No
HS009280,2022-01-13,Starter,197.79,1-10,E-commerce,2,962,39.1,2.4,42.0,8.7,1,12,No,No,23,5,1,Yes
HS009836,2022-01-13,Starter,49.07,1-10,Education,1,191,31.7,4.8,35.1,28.6,1,10,Yes,No,29,2,1,Yes
HS006371,2022-01-13,Starter,97.53,51-200,Marketing & Advertising,11,4081,42.1,11.5,55.3,22.0,2,1,Yes,No,27,7,1,No
HS009373,2022-01-14,Starter,96.56,11-50,E-commerce,11,869,55.3,0.2,38.0,23.3,2,14,No,No,24,4,1,Yes
HS001397,2022-01-14,Starter,166.24,11-50,Technology,11,2035,25.6,16.2,45.8,24.8,3,9,Yes,No,17,1,1,Yes
HS007474,2022-01-14,Starter,135.71,1-10,Technology,3,855,49.7,2.7,42.6,11.1,2,10,No,No,18,2,1,Yes
HS005982,2022-01-14,Professional,2720.04,51-200,E-commerce,14,1708,79.0,39.6,43.0,48.1,5,4,Yes,No,2,7,12,No
HS007182,2022-01-14,Professional,2993.81,11-50,Manufacturing,10,1300,37.4,19.9,76.8,59.5,5,1,Yes,No,3,6,12,No
HS004939,2022-01-14,Starter,145.53,1-10,Technology,2,598,34.7,28.2,46.2,10.5,0,12,No,No,6,5,1,No
HS005683,2022-01-14,Starter,102.06,1-10,Professional Services,4,212,25.8,10.1,62.9,8.0,3,7,No,No,8,3,1,Yes
HS008918,2022-01-14,Professional,2212.09,201-500,Technology,21,3276,56.0,49.5,56.7,23.9,3,4,Yes,No,4,6,24,No
HS001465,2022-01-14,Professional,2452.64,51-200,E-commerce,17,3196,63.1,45.5,69.1,51.8,3,2,No,No,6,7,12,No
HS000038,2022-01-14,Professional,1585.94,11-50,Marketing & Advertising,7,1820,58.5,32.2,57.6,21.0,7,6,Yes,No,1,6,1,No
HS004793,2022-01-15,Enterprise,9452.0,1000+,Marketing & Advertising,68,106123,53.0,48.6,65.3,61.9,12,7,Yes,Yes,8,8,24,No
HS002915,2022-01-15,Professional,2355.63,51-200,Real Estate,23,4922,56.7,55.7,72.1,44.7,7,4,Yes,Yes,9,9,1,No
HS004634,2022-01-15,Starter,77.2,11-50,Healthcare,3,900,43.8,11.5,34.4,17.9,3,13,No,No,22,4,1,Yes
HS009128,2022-01-15,Professional,2504.38,11-50,E-commerce,7,3255,59.3,28.9,84.5,58.5,3,2,Yes,No,4,8,12,No
HS000074,2022-01-15,Professional,1762.14,51-200,Technology,19,7277,52.2,23.8,77.2,47.6,4,7,Yes,Yes,9,7,12,No
HS000818,2022-01-15,Starter,82.31,1-10,Manufacturing,2,704,57.1,10.4,46.6,31.9,3,4,No,No,11,6,1,No
HS004300,2022-01-16,Professional,2468.31,11-50,E-commerce,5,495,61.8,27.1,61.8,46.2,5,6,Yes,No,8,6,1,No
HS009637,2022-01-16,Professional,1307.8,51-200,Marketing & Advertising,23,3519,54.9,44.1,53.6,26.7,5,3,Yes,Yes,7,7,12,No
HS001110,2022-01-16,Professional,1823.17,51-200,Financial Services,22,2662,73.9,59.6,52.5,23.1,3,3,Yes,Yes,7,8,12,No
HS006389,2022-01-16,Starter,191.91,1-10,Marketing & Advertising,3,990,32.6,25.2,45.2,22.6,0,6,Yes,No,9,6,12,No
HS005861,2022-01-16,Enterprise,11394.8,501-1000,E-commerce,41,75267,55.8,65.5,80.8,81.9,11,3,Yes,Yes,0,10,12,No
HS006032,2022-01-16,Professional,895.82,11-50,Technology,7,2793,68.6,48.1,62.4,33.4,7,6,Yes,Yes,2,9,24,No
HS009867,2022-01-16,Enterprise,4446.98,1000+,Professional Services,75,114031,77.2,56.6,61.3,80.4,11,3,Yes,Yes,6,8,12,No
HS006452,2022-01-16,Professional,2240.37,51-200,Technology,11,4708,50.5,26.9,81.7,43.5,7,6,Yes,Yes,1,8,24,No
HS006921,2022-01-16,Professional,3194.17,11-50,Technology,3,1245,42.0,56.0,58.3,46.5,6,1,Yes,No,3,7,12,No
HS009446,2022-01-16,Enterprise,5968.39,501-1000,Professional Services,36,44616,80.6,71.5,66.2,58.9,9,4,Yes,Yes,6,9,24,No
HS005439,2022-01-16,Starter,164.75,1-10,Marketing & Advertising,4,1552,28.0,0.5,27.0,21.0,0,10,Yes,No,87,6,1,Yes
HS000241,2022-01-17,Starter,136.27,51-200,Healthcare,11,4686,16.3,17.9,61.1,5.9,3,4,Yes,No,19,1,1,No
HS004224,2022-01-17,Starter,116.47,1-10,Technology,1,244,24.7,7.8,34.0,16.6,0,14,Yes,No,7,3,1,Yes
HS003196,2022-01-17,Enterprise,7774.82,501-1000,Professional Services,49,11059,80.5,56.5,70.0,62.3,12,3,Yes,Yes,7,8,24,No
HS007782,2022-01-17,Starter,192.24,11-50,Professional Services,7,2464,10.1,2.9,57.4,31.3,0,4,Yes,No,27,0,12,No
HS005751,2022-01-17,Enterprise,5195.43,201-500,Technology,30,22794,60.3,82.3,68.1,75.5,10,0,Yes,Yes,0,9,12,No
HS002836,2022-01-17,Professional,1800.58,11-50,Technology,5,340,73.7,27.6,76.0,48.0,7,3,No,No,1,7,12,Yes
HS001238,2022-01-17,Starter,175.9,1-10,Technology,4,368,21.8,5.4,20.4,10.4,1,13,Yes,No,60,0,1,Yes
HS003442,2022-01-17,Enterprise,3960.25,501-1000,Marketing & Advertising,37,26824,84.8,66.8,85.4,85.1,11,4,Yes,Yes,0,10,24,No
HS001886,2022-01-17,Starter,87.81,1-10,Manufacturing,3,1386,14.3,29.0,30.1,20.9,0,8,No,No,5,5,1,No
HS006436,2022-01-17,Professional,1930.92,51-200,Professional Services,12,3888,76.3,50.5,41.9,48.5,7,2,Yes,No,4,8,24,No
HS006237,2022-01-18,Professional,2024.74,11-50,Marketing & Advertising,10,2910,56.7,18.3,78.4,29.4,6,5,No,No,2,6,1,No
HS000260,2022-01-18,Professional,2083.71,51-200,Marketing & Advertising,19,6764,54.3,48.2,43.4,48.2,5,5,Yes,No,2,7,12,No
HS008269,2022-01-18,Enterprise,4709.77,501-1000,Healthcare,51,37723,92.5,73.9,72.1,60.3,12,0,No,Yes,0,10,12,No
HS000914,2022-01-18,Enterprise,8116.1,501-1000,Manufacturing,53,112148,72.4,51.4,63.4,64.2,5,0,Yes,Yes,7,8,24,No
HS008693,2022-01-18,Starter,183.75,11-50,Professional Services,4,952,54.5,24.0,48.4,8.1,1,5,Yes,No,22,6,1,No
HS004570,2022-01-19,Professional,2900.73,201-500,Real Estate,30,2970,65.7,38.5,79.7,43.2,2,1,No,No,9,9,12,Yes
HS008177,2022-01-19,Enterprise,3900.92,1000+,Technology,55,46989,54.9,82.1,65.7,70.3,12,1,Yes,Yes,5,7,24,No
HS007311,2022-01-19,Starter,109.86,1-10,Financial Services,2,804,20.1,18.2,22.6,15.1,0,10,Yes,No,15,0,1,Yes
HS002679,2022-01-19,Enterprise,3629.14,1000+,Healthcare,95,98420,75.4,51.2,83.2,84.8,6,3,Yes,Yes,0,10,24,No
HS005592,2022-01-19,Professional,2546.53,11-50,Real Estate,3,1431,77.4,23.3,49.2,45.3,7,6,Yes,Yes,2,6,12,No
HS003634,2022-01-19,Starter,45.97,1-10,Financial Services,2,408,14.4,11.3,52.5,17.9,3,12,Yes,No,14,3,1,No
HS002007,2022-01-19,Professional,2553.42,11-50,Healthcare,8,3808,40.7,15.3,84.9,59.9,4,1,No,Yes,7,7,1,No
HS003176,2022-01-19,Enterprise,5577.78,201-500,E-commerce,24,27085,71.4,72.8,89.6,73.2,8,3,Yes,Yes,2,10,24,No
HS004082,2022-01-19,Starter,93.09,1-10,Manufacturing,2,678,45.5,12.4,35.6,18.9,1,4,No,No,24,3,1,Yes
HS008598,2022-01-19,Starter,77.31,1-10,Technology,4,1840,51.8,28.2,35.3,8.1,0,1,Yes,No,21,7,1,Yes
HS005639,2022-01-19,Enterprise,11509.8,501-1000,Marketing & Advertising,39,23261,62.3,44.0,91.5,78.3,10,4,Yes,Yes,4,9,24,No
HS005317,2022-01-19,Starter,63.79,11-50,Professional Services,10,4960,18.4,26.5,58.3,26.4,3,6,Yes,No,13,7,1,No
HS008652,2022-01-19,Professional,1484.81,201-500,Education,24,3984,64.1,31.7,65.1,34.3,2,2,Yes,Yes,3,6,1,No
HS002478,2022-01-19,Starter,117.61,11-50,Technology,10,1430,57.2,0.3,53.4,28.3,2,7,Yes,No,28,6,1,No
HS001558,2022-01-19,Starter,168.21,1-10,Healthcare,4,1300,46.2,15.4,23.7,21.8,2,13,Yes,No,6,5,1,Yes
HS003422,2022-01-19,Professional,1930.56,11-50,Education,8,3912,75.8,26.9,71.7,57.9,5,4,Yes,No,7,8,12,No
HS002080,2022-01-19,Professional,2124.47,11-50,Financial Services,6,2568,31.3,32.4,72.6,29.9,4,2,Yes,No,7,5,12,Yes
HS007305,2022-01-20,Starter,113.58,1-10,Professional Services,3,1077,22.6,9.2,20.4,5.7,2,14,Yes,No,23,3,1,Yes
HS003213,2022-01-20,Enterprise,11987.61,501-1000,E-commerce,56,36327,88.3,63.1,69.4,89.5,14,4,Yes,Yes,0,9,24,No
HS009362,2022-01-20,Starter,82.86,11-50,Marketing & Advertising,5,2365,22.7,24.7,46.9,19.7,1,7,Yes,No,29,5,12,No
HS009223,2022-01-20,Enterprise,10630.82,201-500,Healthcare,29,47294,86.1,69.5,73.1,67.7,9,0,Yes,Yes,0,10,12,No
HS006792,2022-01-20,Starter,133.64,51-200,Real Estate,20,3080,13.3,4.2,48.5,31.5,0,14,No,No,23,0,1,Yes
HS000281,2022-01-20,Professional,1827.8,11-50,E-commerce,7,3038,45.6,26.6,76.4,22.5,2,7,Yes,No,6,6,12,No
HS001880,2022-01-21,Starter,146.05,11-50,Manufacturing,10,1140,45.9,2.5,42.2,6.3,3,8,Yes,No,13,6,1,No
HS002160,2022-01-21,Professional,1856.67,11-50,Technology,11,979,56.4,47.1,71.0,24.6,7,3,Yes,Yes,5,6,1,No
HS009465,2022-01-21,Starter,101.58,1-10,E-commerce,1,286,44.3,26.5,34.6,22.0,3,5,Yes,No,9,5,1,No
HS001300,2022-01-21,Enterprise,9414.76,1000+,Technology,60,110303,50.7,59.2,81.8,65.4,13,0,Yes,Yes,2,8,12,No
HS004880,2022-01-21,Starter,112.15,1-10,Technology,3,414,45.3,9.0,64.2,14.4,0,6,No,No,21,5,1,No
HS000032,2022-01-21,Starter,46.26,1-10,Technology,4,812,32.4,13.0,35.0,7.1,3,3,Yes,No,26,5,1,Yes
HS005898,2022-01-21,Professional,2670.13,51-200,Technology,10,2610,75.7,17.6,52.7,32.8,4,3,Yes,Yes,9,6,12,Yes
HS001600,2022-01-21,Enterprise,7424.52,1000+,Real Estate,55,35608,88.2,55.6,78.3,70.1,13,4,Yes,Yes,1,9,24,No
HS006455,2022-01-21,Starter,91.23,1-10,E-commerce,2,958,58.1,26.3,52.8,9.8,3,4,Yes,No,16,6,12,No
HS001447,2022-01-21,Professional,2905.88,11-50,Technology,3,486,30.4,36.8,81.5,46.5,4,7,Yes,No,5,5,12,Yes
HS003341,2022-01-21,Professional,866.16,201-500,Marketing & Advertising,35,10360,39.8,21.7,77.2,44.4,6,5,Yes,No,6,6,1,No
HS004778,2022-01-21,Professional,1727.48,11-50,Healthcare,11,1001,47.3,59.3,70.5,54.0,6,2,Yes,No,6,8,1,No
HS006534,2022-01-21,Starter,129.87,11-50,Financial Services,5,2375,55.7,4.0,49.3,10.8,2,7,No,No,29,4,1,Yes
HS001266,2022-01-22,Professional,2562.38,201-500,Marketing & Advertising,32,2944,43.2,46.0,49.0,53.9,5,1,Yes,No,7,5,12,No
HS002670,2022-01-22,Enterprise,9633.23,201-500,Technology,36,30475,74.4,46.5,94.3,67.7,13,1,Yes,Yes,0,9,12,No
HS006732,2022-01-22,Enterprise,5584.34,201-500,Technology,26,11492,94.5,58.2,70.2,87.2,11,1,Yes,Yes,1,10,24,No
HS003208,2022-01-22,Professional,1467.19,11-50,Real Estate,11,3168,45.7,53.9,55.0,24.4,7,3,Yes,Yes,3,5,12,No
HS001391,2022-01-22,Starter,65.65,1-10,Technology,1,118,39.9,11.7,61.8,28.0,2,1,Yes,No,6,7,1,No
